Player Name,IFPA,MPID
Aaron Anderson,,
Aaron Bannavong,78651,15443
Aaron Bendickson,7073,1278
Aaron Bronow,,
Aaron Brown,,
Aaron Christensen,,
Aaron Donny-Clark,35499,
Aaron Erisman,,
Aaron Garberding,9383,748
Aaron Key,,
Aaron Ling,,
Aaron McAbee,8645,
Aaron Miller WA,57414,
Aaron Rev,87908,
Aaron Shervin,58392,12839
Abdullah Syed,42482,11716
Adam Aly,,
Adam Chesbrough,7987,
Adam Jenkins USA,12764,634
Adam Livengood,110935,33035
Adam Saunders,,
Adam Smith,50572,
Adam Sturm,34760,8977
Aden Draakkai,,
Adria Mavis,,
Adrianne Grondahl,,
Age Diaz,20060,
AJ Norris,104396,33066
AJ Schofield,115616,18025
Alan Wiley,28877,10457
Alan Woodyard,50324,
Albert Hailey,,
Alec Rodenhauser,144424,45388
Alek Lu,,
Alex Baker,76990,
Alex Bellinghausen,47074,7378
Alex Garcia,83179,
Alex Hart,,
Alex Hawley,60355,8738
Alex Miel,71215,
Alex PK,,
Alex Rice,68537,9738
Alex Sarles,74925,13791
Alex Singleterry,24660,9268
Alex Skinner,6835,12491
Alex Tada,14383,1778
Alex Wilson WA,,
Alex Wynn,126404,
Alexa Perry,73428,12937
Alexa Philbeck,22985,776
Alexander Corbin,89129,21752
Alexander Simchuk,67237,13368
Alexander Young,39409,23737
Alexandre Davis,39556,10293
Alexis Chura,90526,21138
Algird Lisaius,48639,2857
Alicia Seftel,60168,
Alisha Maligon,,
Allen Wood,45162,6278
Allie Bailey,141530,
Allison McClure,51260,3594
Ally Christofferson,54262,
Altwin Hawksford,23901,7961
Alyson Ruby Rae,17194,19436
Alyssa Hutton,86314,20987
Amanda Drey,64894,
Amanda Futrell,73171,
Amanda Humphries,101233,
Amanda Kotchon,20535,1860
Amanda Lanning,,
Amber Cecil,72786,
Amber Marie Simon,22330,
Amber Pepin-Turbide,30014,2996
Amber Roy,71533,11002
Amberle Houston,32147,
Ameillya Jean,99285,27112
Amrik Ohbi,83020,
Amy Frame,,42397
Amy McCormack,,
Amy Richards,,
Andre Needham,8266,
Andrea Mas,34942,
Andrea Peterson,55951,5933
Andrew Bolt,,
Andrew Cole WA,11470,9242
Andrew Evans,68961,
Andrew Furdell,135770,44891
Andrew Hopper,79788,12548
Andrew Jamieson,50082,5611
Andrew Kauffman,,
Andrew Meuser,123017,
Andrew Nunes,1651,33282
Andrew Stauffer,107583,30748
Andria Keirn,,
Andy Bernard,110350,30880
Andy Burton,611,2042
Andy Cobb,13955,15396
Andy Evans,63399,
Andy Glass,57448,5572
Andy Hatch,11546,
Andy Schafer,118426,
Andy Shook,115104,
Andy Wylie,,
Andy Yarritu,52791,6175
Andyroo Callan,92665,15145
Angie Parker,80644,30770
Angus Macmillan,102105,
Anisa Thomas,,
Anna Cartella,,
Anne Swanson,33538,
Anthony Ciampi,,
Anthony Giles,67671,9024
Anthony Gragnani,57263,12528
Anthony McCammant,45876,3428
Anthony Oneal,97082,40333
Anthony Welters,39458,
Antonio Borbon,56229,
April Mazur,80839,24114
Ari Golding,21897,
Ari Stinson,42077,
Ariel Bedolla,94551,24436
