MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
1,1,1,Aaron Anderson,,,,,,,
3,4,4,Aaron Bendickson,CDC,C,7073,904,1432,69,1570
2,1,2,Aaron Donny-Clark,SCN,P,35499,15560,1295,67,1429
2,1,2,Aaron Erisman,,,,,1292,59,1410
5,4,5,Aaron Garberding,,,9383,559,1574,41,1656
1,1,1,Aaron Ling,,,,,1162,125,1412
1,2,2,Aaron McAbee,,,8645,4334,1243,84,1411
1,1,1,Aaron Miller WA,,,57414,11269,1250,125,1500
1,1,1,Abdulla Syed,TBT,P,42482,21603,1253,83,1418
1,1,1,Adam Aly,FRZ,P,,,,,
2,2,2,Adam Chesbrough,,,7987,3344,1339,69,1478
1,1,1,Age Diaz,JMF,P,20060,6327,1234,56,1347
4,4,4,Alan Wiley,TWC,P,28877,879,1478,41,1559
3,1,3,Alan Woodyard,FRZ,P,50324,7961,1391,63,1516
3,1,3,Alex Hart,HHS,P,,,1363,64,1491
1,1,1,Alex Hawley,DTP,P,,,1236,80,1396
1,1,1,Alex Hoganson,,,,,,,
4,4,4,Alex Singleterry,HHS,A,24660,744,1482,34,1549
5,2,5,Alex Skinner,DTP,C,6835,4156,1532,47,1626
5,6,6,Alex Tada,,,14383,125,1551,39,1628
4,4,4,Alexa Philbeck,TWC,C,22985,923,1497,32,1562
4,2,4,Algird Lisaius,KNR,P,48639,3164,1446,39,1524
1,1,1,Alicia Seftel,LLK,A,,,1214,63,1340
3,2,3,Allison Mcclure,SJK,P,51260,4265,1366,52,1470
2,1,2,Ally Christofferson,,,54262,8790,1278,73,1423
3,3,3,Altwin Hawksford,PGN,P,23901,2062,1399,32,1462
2,1,2,Alyson Rae,,,,,1258,67,1392
3,1,3,Amber Marie Simon,,,22330,6136,1410,75,1560
2,1,2,Amber Pepin-Turbide,,,30014,6132,1306,89,1484
1,1,1,Amberle Houston,,,32147,31552,1147,116,1379
4,1,4,Andre Needham,,,8266,12112,1464,95,1653
1,1,1,Andrea Mas,,,34942,19826,1250,125,1500
2,1,2,Andrew Bolt,,,,,1307,101,1509
4,3,4,Andrew Nunes,,,1651,1129,1465,44,1553
5,5,5,Andy Burton,SSS,P,611,365,1556,42,1641
2,1,2,Andy Glass,HHS,P,57448,15124,1314,45,1405
1,1,1,Andy Hatch,,,11546,10866,1215,117,1449
3,1,3,Andy Yarritu,FRZ,P,52791,5022,1415,48,1511
1,1,1,Anne Swanson,,,33538,12352,1198,65,1328
2,1,2,Anthony Ciampi,,,,,1280,105,1490
2,1,2,Anthony Gragnani,,,57263,27405,1329,47,1424
3,3,3,Anthony McCammant,PGN,P,45876,2446,1440,34,1507
3,3,3,Anthony Welters,CPO,C,39458,1607,1404,45,1494
3,1,3,Ari Golding,SJK,P,21897,5262,1370,51,1472
2,1,2,Ari Stinson,DIH,P,42077,20077,1268,69,1406
1,1,1,Arthur Alvarez,,,49668,12548,1224,77,1378
2,1,2,Ash Landers,DTP,P,56115,10910,1289,42,1374
1,1,1,Ashley Negron,,,52423,12425,1124,75,1273
4,3,4,Ashley Weaver,SWL,P,49083,2300,1467,30,1527
3,2,3,Atomic Sita,,,41609,4269,1366,58,1481
1,1,1,Atticus Wiman,RMS,P,,,1238,64,1366
4,3,4,Austin Arlitt,SJK,P,10919,2178,1474,44,1563
4,4,4,Benton Seybold,IBL,P,34526,987,1448,40,1528
2,1,2,Bethany Brakemeyer,,,26408,5029,1349,78,1505
1,1,1,Bianca Coleman,,,57423,20932,1222,81,1384
2,1,2,Blake Butler,,,,,1280,80,1440
5,5,5,Blake Mitchell,TBT,C,21615,313,1562,39,1640
4,3,4,Bo Kellogg,,,12961,1574,1500,38,1576
5,3,5,Bobby Conover,SJK,C,6160,2084,1565,52,1670
2,1,2,Brad Crowden,,,35776,8965,1303,87,1477
2,1,2,Brad Hayden,SSS,P,3317,5985,1339,47,1432
3,2,3,Bre Lloyd,PBR,A,45880,2601,1368,45,1458
2,1,2,Brent Longenecker,,,,,1299,125,1549
1,1,1,Brenton Ash,,,42335,14583,1064,102,1269
3,2,3,Brett Wolfe,NLT,C,31731,2938,1440,53,1546
5,3,5,Brian Chesbrough,SSS,A,6142,1669,1544,44,1633
1,1,1,Brian Geiszler,,,36801,25858,1094,124,1341
5,2,5,Brian Hyder,PBR,P,38462,3040,1564,44,1653
1,1,1,Brian Wilka,,,,,,,
3,2,3,Bridgette Thimsen,,,45885,3003,1434,57,1547
2,1,2,Brittany Semrow,,,37207,10106,1295,69,1432
2,2,2,Brodi B,PGN,P,49079,3354,1350,62,1475
1,1,1,Brodie Somers,,,,,1153,105,1363
4,3,4,Brooke Borcherding,FRZ,C,31625,1742,1463,34,1531
4,3,4,Bryan Eastman,TWC,P,44230,1316,1497,39,1574
3,1,3,Bryn Bomar,SCN,A,37159,9190,1355,58,1470
2,2,2,Buzz Johnson,,,25524,4744,1273,70,1413
4,1,4,Cameron Austgen,,,20057,14628,1450,66,1582
